% 1. Title : data/scala.train.6m.comment
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-12-05
@RELATION BUGGY
@ATTRIBUTE Kincaid numeric
@ATTRIBUTE Diction numeric
@ATTRIBUTE Queequeg numeric
@ATTRIBUTE classification {clean,buggy}

@DATA
1.7,0,1,buggy
1.4,6,4,buggy
4.2,1,4,clean
-0.3,0,1,buggy
-1.6,0,1,buggy
-1.4,0,1,buggy
-0.7,2,1,clean
8.3,0,1,clean
1.8,3,1,buggy
-0.3,1,4,buggy
1.3,0,1,clean
-0.1,0,2,buggy
-1.1,0,1,clean
-2.8,0,1,buggy
0.9,0,1,buggy
0.1,2,2,clean
4.0,1,1,buggy
-3.0,0,1,buggy
2.1,0,1,buggy
0.5,0,1,clean
-0.7,0,1,buggy
-1.7,1,1,buggy
4.4,1,2,buggy
-1.8,0,1,buggy
3.6,1,1,buggy
0.7,1,1,buggy
0.1,2,3,buggy
2.8,0,1,buggy
-0.0,1,1,buggy
4.4,1,1,buggy
-1.3,2,1,clean
-1.4,1,1,buggy
0.9,2,2,buggy
-0.3,0,1,clean
9.9,0,1,buggy
2.4,0,1,buggy
1.2,2,3,buggy
0.8,2,2,clean
1.0,1,1,clean
-2.2,0,1,buggy
1.9,3,2,buggy
7.9,8,5,buggy
2.8,1,1,buggy
1.6,2,5,clean
-0.1,1,2,clean
-0.5,1,1,clean
18.2,2,2,buggy
2.2,3,1,buggy
0.1,1,1,buggy
-0.1,2,2,clean
0.3,2,2,clean
-2.1,2,1,buggy
1.8,3,2,clean
0.2,6,4,buggy
-1.1,0,1,buggy
1.4,1,2,clean
2.3,3,2,buggy
3.7,2,4,clean
-0.9,0,1,clean
1.2,2,1,buggy
-1.1,0,1,buggy
1.5,1,2,buggy
3.4,4,4,buggy
-0.3,0,1,buggy
-0.9,1,1,buggy
2.4,0,1,buggy
4.6,6,4,buggy
-1.8,0,1,buggy
3.1,3,1,clean
15.3,1,1,buggy
2.3,1,1,clean
5.1,2,3,clean
-1.4,0,1,clean
-0.7,0,1,clean
-1.4,2,1,clean
3.8,3,5,buggy
4.8,5,2,buggy
-0.8,1,1,buggy
0.7,2,1,buggy
5.8,2,3,clean
11.0,0,1,clean
-2.6,0,1,buggy
3.1,1,3,clean
4.7,5,11,buggy
-1.8,0,1,buggy
7.9,0,2,clean
-1.6,0,1,clean
-0.9,0,1,buggy
-1.3,0,2,buggy
1.6,3,3,buggy
2.4,1,1,clean
-1.2,3,1,buggy
5.1,2,1,clean
-0.3,0,2,buggy
0.4,1,1,buggy
-1.3,0,1,clean
2.4,0,1,buggy
-1.6,1,1,clean
0.1,0,1,clean
0.0,3,2,clean
0.1,0,1,buggy
-1.8,0,1,clean
0.6,1,2,buggy
22.3,0,2,clean
3.5,1,2,buggy
-1.1,0,1,buggy
3.6,3,6,buggy
1.3,0,1,clean
-0.7,0,1,buggy
7.7,2,3,clean
-1.4,0,1,buggy
-0.7,0,1,buggy
-0.7,0,1,buggy
21.2,0,1,clean
1.9,3,2,buggy
4.9,1,4,buggy
3.9,6,6,buggy
-0.7,0,1,clean
0.5,1,1,buggy
1.7,3,3,buggy
2.1,0,1,buggy
16.6,2,5,clean
5.8,0,2,clean
-2.6,0,1,clean
-1.1,0,1,clean
3.2,1,1,clean
-0.7,0,2,clean
4.0,7,2,clean
0.5,0,1,clean
6.0,1,1,clean
0.3,2,1,clean
-1.4,1,1,clean
1.3,2,2,buggy
5.2,0,3,clean
-2.0,0,1,clean
-2.0,0,1,buggy
3.4,2,1,buggy
4.2,0,2,clean
-1.1,0,1,clean
1.7,0,1,buggy
0.7,6,6,buggy
21.6,0,2,buggy
-1.1,0,1,clean
2.8,0,1,clean
4.4,0,1,buggy
0.9,0,1,clean
11.8,1,5,clean
3.4,0,1,clean
3.5,1,3,buggy
3.6,4,5,clean
-1.5,0,1,buggy
-1.1,1,1,buggy
0.1,1,1,buggy
2.8,1,1,clean
3.6,1,1,clean
-2.6,0,1,clean
1.0,2,1,clean
1.7,0,1,clean
-1.6,0,1,clean
13.0,0,3,buggy
-0.1,4,1,clean
2.7,0,2,clean
1.9,2,1,clean
0.3,2,2,clean
0.4,2,1,clean
-0.0,0,2,clean
1.3,2,1,clean
-1.6,0,1,buggy
-1.1,0,1,clean
-0.4,2,2,buggy
-1.1,0,1,clean
0.8,0,1,buggy
0.6,2,2,clean
-0.5,0,2,buggy
-1.1,0,1,clean
-1.4,1,1,buggy
1.1,0,2,clean
2.1,2,1,clean
-0.5,0,2,buggy
-1.4,0,1,buggy
0.6,7,4,buggy
-0.3,0,1,buggy
1.8,4,2,clean
1.8,2,1,buggy
0.5,1,2,buggy
2.8,0,1,buggy
-0.9,1,1,clean
-1.4,0,1,clean
-0.3,1,2,clean
-1.1,1,1,clean
0.9,0,1,clean
-0.4,0,1,buggy
-1.4,1,1,buggy
7.1,1,1,clean
-0.4,2,2,clean
6.4,1,2,buggy
0.3,0,3,clean
1.4,1,2,buggy
0.1,0,1,clean
0.3,1,3,clean
2.7,1,2,clean
4.0,0,1,buggy
-2.6,0,1,clean
5.5,4,3,buggy
3.6,2,2,buggy
4.0,1,1,buggy
6.0,1,2,clean
0.7,1,1,buggy
14.2,1,2,buggy
1.5,1,1,buggy
0.2,3,2,buggy
2.9,4,5,buggy
2.6,1,1,buggy
8.6,2,1,buggy
4.9,2,1,buggy
4.4,0,1,buggy
4.5,5,2,buggy
4.3,4,4,clean
2.3,3,4,buggy
-0.4,1,2,clean
0.1,0,2,clean
-1.4,0,1,clean
0.5,1,1,buggy
3.7,6,2,clean
4.6,2,4,buggy
0.1,2,1,clean
-2.2,0,1,buggy
3.2,1,1,clean
-1.1,0,1,buggy
7.9,0,1,buggy
7.1,1,1,buggy
-1.4,0,1,clean
0.5,0,1,buggy
-0.3,0,1,buggy
-0.3,0,1,clean
1.5,4,2,buggy
-0.1,1,1,buggy
-1.1,0,1,buggy
2.6,1,3,clean
3.6,1,1,clean
0.9,0,1,clean
0.3,1,2,buggy
-0.7,0,1,buggy
-1.8,0,1,buggy
8.1,5,2,buggy
4.8,2,2,buggy
5.2,0,1,buggy
5.8,0,2,buggy
1.3,2,1,buggy
2.8,2,1,buggy
18.9,2,1,buggy
3.3,5,4,buggy
11.4,0,1,clean
-1.1,0,1,clean
0.7,0,3,buggy
-2.2,0,1,clean
4.4,0,1,buggy
5.0,0,2,buggy
-0.7,0,1,buggy
0.8,3,5,clean
4.8,9,6,buggy
4.0,0,1,clean
-0.7,0,1,clean
0.1,0,1,clean
-0.9,1,1,buggy
-1.8,0,1,clean
1.1,2,3,buggy
0.3,4,2,buggy
4.7,3,4,buggy
-0.9,1,1,buggy
0.1,1,1,clean
2.5,2,2,buggy
1.1,0,2,clean
-0.9,1,1,buggy
-1.2,1,1,buggy
2.8,2,1,buggy
13.9,2,2,clean
4.7,12,4,clean
7.5,0,2,clean
4.0,0,1,clean
9.5,0,1,clean
0.1,0,1,clean
-1.1,0,1,clean
-2.2,0,1,clean
